date,user_id,state,device,source,medium,sessions,purchases
2026-01-01,U0029,CA,mobile,facebook,paid_social,1,0
2026-01-01,U0033,TX,mobile,google,organic,1,0
2026-01-01,U0046,WA,tablet,newsletter,email,2,0
2026-01-01,U0049,GA,mobile,google,organic,1,0
2026-01-01,U0056,VA,tablet,email,email,3,0
2026-01-01,U0092,NY,mobile,facebook,paid_social,2,0
2026-01-01,U0096,FL,mobile,instagram,paid_social,1,0
2026-01-01,U0129,CO,desktop,direct,(none),3,0
2026-01-01,U0132,NY,mobile,facebook,paid_social,3,0
2026-01-01,U0133,MA,mobile,google,cpc,1,0
2026-01-01,U0134,NY,mobile,google,organic,3,0
2026-01-01,U0159,WA,mobile,google,cpc,3,0
2026-01-01,U0184,GA,mobile,facebook,paid_social,1,0
2026-01-01,U0186,VA,mobile,google,organic,2,0
2026-01-01,U0203,GA,mobile,bing,cpc,3,0
2026-01-01,U0208,NC,mobile,facebook,paid_social,2,0
2026-01-01,U0238,FL,mobile,google,cpc,1,0
2026-01-01,U0243,NC,desktop,direct,(none),1,0
2026-01-01,U0273,OH,desktop,google,organic,2,0
2026-01-01,U0281,GA,mobile,google,cpc,1,0
2026-01-01,U0294,NY,mobile,bing,cpc,3,0
2026-01-01,U0296,NY,mobile,google,organic,3,0
2026-01-01,U0310,IL,mobile,google,organic,3,0
2026-01-01,U0318,OH,mobile,google,organic,1,0
2026-01-01,U0328,CA,desktop,google,cpc,1,0
2026-01-01,U0341,NY,mobile,bing,cpc,4,0
2026-01-01,U0364,NJ,desktop,affiliate,referral,2,0
2026-01-01,U0371,TX,desktop,email,email,1,0
2026-01-01,U0372,TX,mobile,bing,cpc,2,0
2026-01-01,U0376,NC,mobile,facebook,paid_social,3,0
2026-01-01,U0395,CA,mobile,google,organic,5,0
2026-01-01,U0458,CA,desktop,direct,(none),1,0
2026-01-01,U0475,TX,mobile,facebook,paid_social,2,0
2026-01-01,U0485,CA,desktop,google,cpc,3,0
2026-01-01,U0500,WA,mobile,google,cpc,1,0
2026-01-02,U0015,IL,desktop,google,organic,2,0
2026-01-02,U0040,AZ,mobile,google,organic,1,0
2026-01-02,U0063,IL,mobile,bing,cpc,1,0
2026-01-02,U0072,WA,mobile,affiliate,referral,1,0
2026-01-02,U0101,OH,desktop,direct,(none),1,0
2026-01-02,U0109,AZ,mobile,google,organic,1,0
2026-01-02,U0146,IL,desktop,google,cpc,1,0
2026-01-02,U0185,PA,desktop,google,cpc,2,0
2026-01-02,U0186,VA,mobile,google,organic,4,0
2026-01-02,U0189,CA,desktop,google,organic,1,0
2026-01-02,U0195,NC,mobile,google,cpc,1,0
2026-01-02,U0231,TX,mobile,instagram,paid_social,3,0
2026-01-02,U0235,CA,mobile,facebook,paid_social,1,0
2026-01-02,U0236,OH,mobile,google,cpc,2,0
2026-01-02,U0239,AZ,mobile,partner_blog,referral,2,0
2026-01-02,U0244,CO,mobile,facebook,paid_social,1,0
2026-01-02,U0245,OH,desktop,google,cpc,3,0
2026-01-02,U0248,CA,mobile,bing,cpc,2,0
2026-01-02,U0286,TX,desktop,direct,(none),1,0
2026-01-02,U0313,CA,mobile,email,email,2,0
2026-01-02,U0319,NY,mobile,email,email,1,0
2026-01-02,U0320,FL,desktop,google,organic,2,0
2026-01-02,U0345,CA,mobile,google,cpc,3,0
2026-01-02,U0360,NJ,mobile,direct,(none),2,0
2026-01-02,U0398,WA,mobile,google,organic,2,0
2026-01-02,U0401,FL,mobile,google,organic,2,0
2026-01-02,U0420,TX,tablet,email,email,1,0
2026-01-02,U0440,CA,mobile,bing,cpc,1,0
2026-01-02,U0442,AZ,mobile,facebook,paid_social,2,0
2026-01-02,U0457,PA,tablet,google,organic,1,0
2026-01-02,U0461,CA,desktop,google,organic,1,0
2026-01-02,U0477,VA,mobile,google,organic,3,0
2026-01-02,U0496,CA,mobile,google,cpc,3,0
2026-01-03,U0016,WA,mobile,google,organic,4,0
2026-01-03,U0019,NY,mobile,google,organic,1,0
2026-01-03,U0026,WA,desktop,google,organic,2,0
2026-01-03,U0062,FL,mobile,google,organic,2,0
2026-01-03,U0107,AZ,desktop,google,organic,1,0
2026-01-03,U0130,GA,desktop,facebook,paid_social,3,0
2026-01-03,U0134,NY,mobile,google,organic,3,0
2026-01-03,U0143,NY,mobile,email,email,3,0
2026-01-03,U0178,MA,mobile,google,organic,1,0
2026-01-03,U0181,TX,desktop,google,organic,3,0
2026-01-03,U0218,NJ,mobile,bing,cpc,4,1
2026-01-03,U0219,WA,desktop,direct,(none),2,0
2026-01-03,U0224,WA,mobile,google,organic,3,0
2026-01-03,U0253,NC,desktop,google,organic,2,0
2026-01-03,U0254,PA,desktop,direct,(none),1,0
2026-01-03,U0269,TX,mobile,bing,cpc,2,0
2026-01-03,U0306,TX,mobile,google,cpc,3,0
2026-01-03,U0309,IL,mobile,bing,cpc,1,0
2026-01-03,U0317,NY,desktop,partner_blog,referral,3,1
2026-01-03,U0324,CA,mobile,facebook,paid_social,2,0
2026-01-03,U0326,TX,mobile,instagram,paid_social,2,0
2026-01-03,U0327,WA,desktop,affiliate,referral,3,1
2026-01-03,U0329,TX,mobile,email,email,4,0
2026-01-03,U0342,CA,desktop,google,cpc,4,0
2026-01-03,U0351,OH,mobile,google,cpc,2,0
2026-01-03,U0357,AZ,desktop,google,organic,1,0
2026-01-03,U0377,WA,mobile,facebook,paid_social,1,0
2026-01-03,U0428,PA,mobile,direct,(none),1,0
2026-01-03,U0466,MA,desktop,newsletter,email,2,0
2026-01-04,U0044,AZ,desktop,google,organic,6,0
2026-01-04,U0046,WA,tablet,newsletter,email,1,0
2026-01-04,U0047,IL,desktop,instagram,paid_social,2,0
2026-01-04,U0073,TX,mobile,direct,(none),3,0
2026-01-04,U0115,FL,desktop,facebook,paid_social,4,0
2026-01-04,U0127,NY,mobile,google,organic,4,0
2026-01-04,U0169,TX,desktop,affiliate,referral,1,1
2026-01-04,U0170,OH,mobile,instagram,paid_social,2,0
2026-01-04,U0176,WA,mobile,email,email,4,0
2026-01-04,U0180,CA,mobile,partner_blog,referral,4,0
2026-01-04,U0187,TX,desktop,instagram,paid_social,3,0
2026-01-04,U0197,CA,desktop,direct,(none),6,0
2026-01-04,U0216,TX,desktop,direct,(none),2,0
2026-01-04,U0217,NC,mobile,partner_blog,referral,3,0
2026-01-04,U0228,NY,mobile,email,email,4,1
2026-01-04,U0263,OH,mobile,google,organic,1,0
2026-01-04,U0295,CA,mobile,google,cpc,1,0
2026-01-04,U0312,CA,desktop,affiliate,referral,1,0
2026-01-04,U0353,NC,desktop,instagram,paid_social,2,0
2026-01-04,U0369,AZ,mobile,google,cpc,2,0
2026-01-04,U0370,NJ,desktop,google,cpc,1,0
2026-01-04,U0380,GA,mobile,google,cpc,5,0
2026-01-04,U0403,NY,mobile,direct,(none),2,1
2026-01-04,U0424,TX,mobile,google,organic,2,0
2026-01-04,U0439,WA,mobile,google,organic,1,0
2026-01-04,U0469,NY,mobile,direct,(none),2,0
2026-01-05,U0015,IL,desktop,google,organic,2,0
2026-01-05,U0054,VA,mobile,email,email,2,0
2026-01-05,U0060,AZ,mobile,direct,(none),1,0
2026-01-05,U0062,FL,mobile,google,organic,4,0
2026-01-05,U0064,VA,desktop,google,organic,3,0
2026-01-05,U0077,VA,desktop,direct,(none),2,0
2026-01-05,U0104,GA,mobile,instagram,paid_social,2,0
2026-01-05,U0108,NY,mobile,direct,(none),2,0
2026-01-05,U0110,MA,mobile,instagram,paid_social,5,0
2026-01-05,U0115,FL,desktop,facebook,paid_social,2,0
2026-01-05,U0134,NY,mobile,google,organic,1,0
2026-01-05,U0151,MA,desktop,email,email,2,0
2026-01-05,U0157,IL,tablet,direct,(none),1,0
2026-01-05,U0169,TX,desktop,affiliate,referral,3,0
2026-01-05,U0180,CA,mobile,partner_blog,referral,2,0
2026-01-05,U0186,VA,mobile,google,organic,3,0
2026-01-05,U0213,AZ,desktop,facebook,paid_social,3,0
2026-01-05,U0247,AZ,mobile,direct,(none),3,0
2026-01-05,U0271,CA,mobile,google,organic,2,0
2026-01-05,U0288,CA,mobile,facebook,paid_social,3,0
2026-01-05,U0290,GA,mobile,google,organic,3,0
2026-01-05,U0298,NC,tablet,facebook,paid_social,1,0
2026-01-05,U0315,TX,desktop,google,organic,1,0
2026-01-05,U0330,NY,desktop,email,email,2,0
2026-01-05,U0383,NJ,mobile,google,organic,1,0
2026-01-05,U0407,NY,desktop,bing,cpc,3,0
2026-01-05,U0411,GA,mobile,bing,cpc,3,0
2026-01-05,U0417,TX,mobile,google,cpc,1,0
2026-01-05,U0419,NJ,mobile,google,organic,3,0
2026-01-05,U0432,WA,tablet,google,organic,3,0
2026-01-05,U0433,CA,mobile,google,organic,3,0
2026-01-05,U0452,NY,tablet,google,cpc,6,0
2026-01-05,U0481,NY,mobile,facebook,paid_social,1,0
2026-01-05,U0483,NJ,mobile,email,email,1,0
2026-01-05,U0494,VA,desktop,instagram,paid_social,2,0
2026-01-06,U0005,NY,desktop,email,email,2,0
2026-01-06,U0009,CA,desktop,google,cpc,6,0
2026-01-06,U0010,GA,mobile,affiliate,referral,1,0
2026-01-06,U0037,CA,mobile,google,cpc,3,0
2026-01-06,U0067,IL,desktop,direct,(none),1,0
2026-01-06,U0091,CA,mobile,instagram,paid_social,5,0
2026-01-06,U0127,NY,mobile,google,organic,2,0
2026-01-06,U0141,VA,desktop,direct,(none),4,1
2026-01-06,U0147,GA,mobile,google,organic,4,0
2026-01-06,U0151,MA,desktop,email,email,2,0
2026-01-06,U0161,CA,desktop,facebook,paid_social,3,0
2026-01-06,U0176,WA,mobile,email,email,2,0
2026-01-06,U0188,GA,mobile,google,cpc,2,0
2026-01-06,U0194,NC,mobile,instagram,paid_social,4,0
2026-01-06,U0212,FL,mobile,google,organic,3,0
2026-01-06,U0219,WA,desktop,direct,(none),2,0
2026-01-06,U0222,WA,mobile,google,cpc,3,0
2026-01-06,U0233,TX,mobile,newsletter,email,4,0
2026-01-06,U0234,PA,tablet,direct,(none),1,0
2026-01-06,U0235,CA,mobile,facebook,paid_social,3,0
2026-01-06,U0251,VA,desktop,google,cpc,1,0
2026-01-06,U0267,NJ,mobile,google,organic,4,0
2026-01-06,U0283,CA,mobile,google,organic,1,0
2026-01-06,U0285,CA,desktop,google,cpc,3,0
2026-01-06,U0331,NC,mobile,direct,(none),4,0
2026-01-06,U0334,PA,mobile,google,cpc,2,0
2026-01-06,U0348,CA,mobile,newsletter,email,1,0
2026-01-06,U0369,AZ,mobile,google,cpc,2,0
2026-01-06,U0387,GA,mobile,google,cpc,1,0
2026-01-06,U0403,NY,mobile,direct,(none),1,0
2026-01-06,U0421,NC,mobile,google,cpc,1,0
2026-01-06,U0445,NC,desktop,google,organic,2,0
2026-01-06,U0454,IL,desktop,direct,(none),2,0
2026-01-06,U0480,CA,mobile,affiliate,referral,2,0
2026-01-06,U0482,CA,mobile,instagram,paid_social,2,0
2026-01-06,U0491,TX,mobile,direct,(none),2,0
2026-01-06,U0496,CA,mobile,google,cpc,6,0
2026-01-07,U0015,IL,desktop,google,organic,3,0
2026-01-07,U0057,NY,mobile,email,email,1,0
2026-01-07,U0094,FL,mobile,email,email,3,0
2026-01-07,U0114,AZ,desktop,instagram,paid_social,2,0
2026-01-07,U0116,NC,desktop,bing,cpc,2,0
2026-01-07,U0123,NJ,mobile,email,email,1,0
2026-01-07,U0152,CO,desktop,email,email,4,0
2026-01-07,U0168,TX,mobile,direct,(none),3,0
2026-01-07,U0246,IL,mobile,facebook,paid_social,1,0
2026-01-07,U0262,MA,mobile,google,cpc,2,0
2026-01-07,U0293,CA,desktop,google,cpc,1,0
2026-01-07,U0311,OH,mobile,instagram,paid_social,2,0
2026-01-07,U0315,TX,desktop,google,organic,1,0
2026-01-07,U0323,TX,mobile,google,cpc,1,0
2026-01-07,U0338,CA,desktop,google,organic,2,1
2026-01-07,U0374,TX,desktop,direct,(none),2,0
2026-01-07,U0376,NC,mobile,facebook,paid_social,1,0
2026-01-07,U0385,VA,mobile,google,cpc,3,0
2026-01-07,U0397,NC,desktop,google,organic,1,0
2026-01-07,U0402,OH,mobile,google,cpc,3,0
2026-01-07,U0424,TX,mobile,google,organic,3,0
2026-01-07,U0430,VA,desktop,google,cpc,4,0
2026-01-07,U0477,VA,mobile,google,organic,2,0
2026-01-08,U0018,WA,desktop,google,organic,1,0
2026-01-08,U0042,IL,mobile,partner_blog,referral,1,0
2026-01-08,U0050,CA,mobile,google,cpc,3,0
2026-01-08,U0060,AZ,mobile,direct,(none),4,0
